,date,state,fips,cases,deaths,Inpatient Beds Occupied Estimated,Count LL_inpatient beds occupied,Count UL_inpatient beds occupied,Percentage of Inpatient Beds Occupied Estimated,Percentage LL_inpatient beds occupied,Percentage UL_inpatient beds occupied,Total Inpatient Beds_x,Total LL_inpatient beds occupied,Total UL_inpatient beds occupied,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL_occupied by COVID-19 patients,Count UL_occupied by COVID-19 patients,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL_occupied by COVID-19 patients,Percentage UL_occupied by COVID-19 patients,Total Inpatient Beds_y,Total LL_occupied by COVID-19 patients,Total UL_occupied by COVID-19 patients,Staffed Adult ICU Beds Occupied Estimated,Count LL_ICU Beds Occupied,Count UL_ICU Beds Occupied,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL_ICU Beds Occupied,Percentage UL_ICU Beds Occupied,Total Staffed Adult ICU Beds,Total LL_ICU Beds Occupied,Total UL_ICU Beds Occupied
178,2020-12-05,MO,29,334637,4412,10989,10989,10989,78.65,78.65,78.65,13972,13972,13972,2561,2560,2562,18.33,18.33,18.33,13972,13972,13972,1549,1548,1550,87.51,87.51,87.51,1770,1770,1770
179,2020-12-05,MT,30,67092,734,1894,1894,1895,66.24,66.24,66.24,2860,2860,2860,386,386,386,13.5,13.5,13.5,2860,2860,2860,167,167,167,73.25,73.25,73.25,228,228,228
180,2020-12-05,NE,31,139103,1208,3202,3197,3207,68.13,68.13,68.13,4700,4700,4700,761,761,761,16.47,16.47,16.47,4700,4700,4700,409,409,409,72.13,72.13,72.13,567,567,567
181,2020-12-05,NV,32,166187,2309,5890,5890,5890,79.84,79.84,79.84,7377,7377,7377,1713,1710,1716,23.77,23.77,23.77,7377,7377,7377,784,784,784,86.73,86.73,86.73,904,904,904
182,2020-12-05,NH,33,24138,559,1884,1884,1884,67.99,67.99,67.99,2771,2771,2771,182,182,182,6.57,6.57,6.57,2771,2771,2771,165,165,165,58.51,58.51,58.51,282,282,282
183,2020-12-05,NJ,34,363822,17306,14838,14838,14838,76.31,76.31,76.31,19445,19445,19445,3366,3366,3366,17.31,17.31,17.31,19445,19445,19445,1584,1584,1584,68.01,68.01,68.01,2329,2329,2329
184,2020-12-05,NM,35,106856,1738,2611,2592,2631,72.98,71.22,74.74,3578,3552,3604,851,814,888,23.79,19.49,28.09,3578,3552,3604,397,393,400,96.77,92.1,101.44,410,401,419
185,2020-12-05,NY,36,700902,34488,34174,34174,34174,72.69,72.69,72.69,47014,47014,47014,5377,5377,5377,11.44,11.44,11.44,47014,47014,47014,3522,3522,3522,58.76,58.76,58.76,5994,5994,5994
186,2020-12-05,NC,37,388760,5547,16043,16043,16043,75.61,75.61,75.61,21219,21219,21219,2437,2305,2569,11.96,11.96,11.96,21219,21219,21219,1980,1980,1980,81.45,81.45,81.45,2431,2431,2431
187,2020-12-05,ND,38,82510,1013,1510,1436,1583,74.6,63.29,85.91,2024,1935,2112,380,372,387,18.75,14.63,22.88,2024,1935,2112,146,139,154,95.44,80.48,110.4,154,145,162
188,2020-12-05,OH,39,467432,6947,20362,20362,20362,69.75,69.75,69.75,29191,29191,29191,5294,5265,5324,18.18,18.18,18.18,29191,29191,29191,3176,3176,3176,77.69,77.69,77.69,4088,4088,4088
189,2020-12-05,OK,40,213245,1874,6389,6386,6392,68.48,68.34,68.62,9330,9323,9337,1587,1585,1588,17.27,17.17,17.37,9330,9323,9337,949,949,949,88.61,88.61,88.61,1071,1071,1071
190,2020-12-05,OR,41,83243,1027,4718,4718,4718,73.68,73.68,73.68,6403,6403,6403,662,662,662,10.34,10.34,10.34,6403,6403,6403,529,529,529,67.99,67.99,67.99,778,778,778
191,2020-12-05,PA,42,416073,11331,24413,24411,24415,75.33,75.11,75.56,32406,32365,32447,6130,6119,6142,19.11,18.92,19.31,32406,32365,32447,3353,3352,3354,82.26,82.18,82.33,4076,4075,4077
192,2020-12-05,RI,44,62137,1413,1680,1421,1939,83.29,83.29,83.29,2017,1754,2280,436,436,436,21.62,21.62,21.62,2017,1754,2280,145,145,145,89.51,89.51,89.51,162,162,162
193,2020-12-05,SC,45,229235,4517,7641,7641,7641,78.99,78.99,78.99,9673,9673,9673,1005,1003,1007,10.39,10.39,10.39,9673,9673,9673,1001,1001,1001,79.26,79.26,79.26,1263,1263,1263
194,2020-12-05,SD,46,85304,1091,1420,1420,1420,59.97,59.97,59.97,2368,2368,2368,467,467,467,19.72,19.72,19.72,2368,2368,2368,171,171,171,76.0,76.0,76.0,225,225,225
195,2020-12-05,TN,47,388815,4851,12025,12025,12025,72.81,72.81,72.81,16516,16516,16516,2608,2576,2640,16.27,16.27,16.27,16516,16516,16516,1839,1839,1839,84.47,84.47,84.47,2177,2177,2177
196,2020-12-05,TX,48,1337296,23111,47121,46980,47262,73.61,73.14,74.08,64196,64054,64338,9140,9125,9156,14.27,14.06,14.49,64196,64054,64338,6437,6395,6479,88.48,87.0,89.97,7284,7247,7322
197,2020-12-05,UT,49,212844,939,3015,3015,3015,57.83,57.83,57.83,5214,5214,5214,581,581,581,11.14,11.14,11.14,5214,5214,5214,486,486,486,77.64,77.64,77.64,626,626,626
198,2020-12-05,VT,50,4894,79,653,653,653,55.67,55.67,55.67,1173,1173,1173,25,25,25,2.13,2.13,2.13,1173,1173,1173,68,68,68,65.38,65.38,65.38,104,104,104
199,2020-12-05,VA,51,251173,4197,11260,11260,11260,65.89,65.89,65.89,17090,17090,17090,1745,1745,1745,10.21,10.21,10.21,17090,17090,17090,1353,1353,1353,66.75,66.75,66.75,2027,2027,2027
