,date,state,fips,cases,deaths,Inpatient Beds Occupied Estimated,Count LL_inpatient beds occupied,Count UL_inpatient beds occupied,Percentage of Inpatient Beds Occupied Estimated,Percentage LL_inpatient beds occupied,Percentage UL_inpatient beds occupied,Total Inpatient Beds_x,Total LL_inpatient beds occupied,Total UL_inpatient beds occupied,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL_occupied by COVID-19 patients,Count UL_occupied by COVID-19 patients,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL_occupied by COVID-19 patients,Percentage UL_occupied by COVID-19 patients,Total Inpatient Beds_y,Total LL_occupied by COVID-19 patients,Total UL_occupied by COVID-19 patients,Staffed Adult ICU Beds Occupied Estimated,Count LL_ICU Beds Occupied,Count UL_ICU Beds Occupied,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL_ICU Beds Occupied,Percentage UL_ICU Beds Occupied,Total Staffed Adult ICU Beds,Total LL_ICU Beds Occupied,Total UL_ICU Beds Occupied
355,2020-12-08,WI,55,448009,4059,8253,8247,8259,66.76,66.76,66.76,12363,12363,12363,1812,1804,1821,14.99,14.99,14.99,12363,12363,12363,1044,1041,1046,65.22,65.22,65.22,1600,1600,1600
356,2020-12-08,WY,56,37475,280,674,606,742,47.5,29.98,65.02,1419,1309,1529,211,193,229,14.99,6.13,23.84,1419,1309,1529,64,60,69,51.19,35.39,67.0,126,115,137
357,2020-12-09,AL,1,280187,3985,11131,11118,11144,78.7,78.28,79.12,14143,14114,14172,2196,2196,2196,15.53,15.36,15.69,14143,14114,14172,1326,1323,1329,91.96,91.39,92.52,1442,1439,1445
358,2020-12-09,AK,2,38510,143,904,904,904,61.85,61.85,61.85,1462,1461,1462,156,156,156,10.67,10.67,10.67,1462,1461,1462,102,102,102,77.27,77.27,77.27,132,132,132
359,2020-12-09,AZ,4,384241,7081,10788,10787,10789,78.04,78.04,78.04,13824,13824,13824,3375,3372,3378,24.45,24.45,24.45,13824,13824,13824,1491,1491,1491,70.83,70.83,70.83,2105,2105,2105
360,2020-12-09,AR,5,176652,2786,5716,5715,5718,75.1,75.1,75.1,7612,7612,7612,1099,1099,1099,14.44,14.44,14.44,7612,7612,7612,826,826,826,82.27,82.27,82.27,1004,1004,1004
361,2020-12-09,CA,6,1457214,20466,49081,49041,49122,78.33,78.14,78.53,62658,62612,62704,12391,12373,12409,19.78,19.63,19.92,62658,62612,62704,6219,6197,6241,83.64,82.98,84.31,7435,7429,7441
362,2020-12-09,CO,8,274354,3671,6955,6955,6955,67.99,67.99,67.99,10229,10229,10229,1702,1701,1703,16.64,16.64,16.64,10229,10229,10229,1052,1051,1054,69.61,69.61,69.61,1512,1512,1512
363,2020-12-09,CT,9,140548,5285,6187,6187,6187,76.1,76.1,76.1,8130,8130,8130,1389,1387,1391,17.08,17.08,17.08,8130,8130,8130,653,653,653,59.15,59.15,59.15,1104,1104,1104
364,2020-12-09,DE,10,42393,803,1842,1842,1842,72.01,72.01,72.01,2558,2558,2558,407,407,407,15.91,15.91,15.91,2558,2558,2558,154,154,154,88.51,88.51,88.51,174,174,174
365,2020-12-09,DC,11,23854,704,2467,2467,2467,84.34,84.34,84.34,2925,2925,2925,258,258,258,8.82,8.82,8.82,2925,2925,2925,296,296,296,87.83,87.83,87.83,337,337,337
366,2020-12-09,FL,12,1083354,19461,41625,41625,41625,80.35,80.35,80.35,51803,51803,51803,5198,5198,5198,10.22,10.22,10.22,51803,51803,51803,5187,5187,5187,82.62,82.62,82.62,6278,6278,6278
367,2020-12-09,GA,13,499299,9630,15984,15972,15996,83.8,83.55,84.06,19073,19050,19096,3042,3040,3043,15.95,15.85,16.05,19073,19050,19096,2334,2334,2334,88.24,88.24,88.24,2645,2645,2645
368,2020-12-09,HI,15,18785,264,1749,1749,1749,70.3,70.3,70.3,2488,2488,2488,68,67,68,2.71,2.71,2.71,2488,2488,2488,160,160,160,69.57,69.57,69.57,230,230,230
369,2020-12-09,ID,16,116677,1124,1836,1836,1836,58.77,58.77,58.77,3124,3124,3124,437,437,437,13.99,13.99,13.99,3124,3124,3124,219,219,219,75.78,75.78,75.78,289,289,289
370,2020-12-09,IL,17,813990,14621,20768,20768,20768,70.89,70.89,70.89,29296,29296,29296,5274,5274,5274,18.0,18.0,18.0,29296,29296,29296,2547,2547,2547,68.99,68.99,68.99,3692,3692,3692
371,2020-12-09,IN,18,401219,6506,11620,11620,11620,70.48,70.48,70.48,16487,16487,16487,3203,3201,3205,19.43,19.43,19.43,16487,16487,16487,1732,1732,1733,79.77,79.77,79.77,2172,2172,2172
372,2020-12-09,IA,19,248782,3017,5120,5115,5125,64.22,64.22,64.22,7973,7973,7973,858,856,859,10.9,10.9,10.9,7973,7973,7973,502,502,502,72.86,72.86,72.86,689,689,689
373,2020-12-09,KS,20,183404,1941,4929,4929,4929,62.83,62.83,62.83,7845,7845,7845,1224,1223,1225,15.6,15.6,15.6,7845,7845,7845,689,689,689,84.85,84.85,84.85,812,812,812
374,2020-12-09,KY,21,212997,2359,8623,8601,8646,72.66,72.66,72.66,11868,11868,11868,1778,1776,1781,14.99,14.99,14.99,11868,11868,11868,1194,1194,1194,76.59,76.59,76.59,1559,1559,1559
375,2020-12-09,LA,22,258914,6684,9157,9157,9157,72.22,72.22,72.22,12679,12679,12679,1376,1370,1382,11.05,11.05,11.05,12679,12679,12679,1417,1417,1417,78.5,78.5,78.5,1805,1805,1805
376,2020-12-09,ME,23,14454,246,1994,1994,1994,69.26,69.26,69.26,2879,2879,2879,219,219,219,7.61,7.61,7.61,2879,2879,2879,236,236,236,76.38,76.38,76.38,309,309,309
377,2020-12-09,MD,24,222971,4962,8137,8020,8254,83.5,79.73,87.27,9745,9601,9889,2004,1973,2035,20.56,18.64,22.49,9745,9601,9889,1027,1016,1038,78.22,75.48,80.96,1313,1298,1328
378,2020-12-09,MA,25,269412,11166,12090,12090,12090,76.57,76.57,76.57,15790,15790,15790,1489,1489,1489,9.43,9.43,9.43,15790,15790,15790,1075,1075,1075,69.4,69.4,69.4,1549,1549,1549
379,2020-12-09,MI,26,447817,10699,16412,16412,16412,79.14,79.14,79.14,20738,20738,20738,3869,3869,3869,18.66,18.66,18.66,20738,20738,20738,2167,2167,2167,83.06,83.06,83.06,2609,2609,2609
380,2020-12-09,MN,27,363778,4168,7456,7447,7465,75.85,75.54,76.16,9830,9817,9843,1754,1752,1755,17.84,17.71,17.97,9830,9817,9843,803,803,803,80.87,80.87,80.87,993,993,993
381,2020-12-09,MS,28,170672,4041,5358,5348,5367,66.08,65.73,66.42,8108,8099,8117,1206,1197,1216,14.91,14.55,15.27,8108,8099,8117,711,711,711,83.26,83.26,83.26,854,854,854
382,2020-12-09,MO,29,349046,4640,11591,11591,11591,80.14,80.14,80.14,14464,14464,14464,2613,2613,2613,18.07,18.07,18.07,14464,14464,14464,1591,1590,1592,88.59,88.41,88.76,1796,1794,1798
383,2020-12-09,MT,30,70191,771,1970,1969,1971,69.0,69.0,69.0,2855,2855,2855,388,388,388,13.59,13.59,13.59,2855,2855,2855,174,174,174,76.65,76.65,76.65,227,227,227
384,2020-12-09,NE,31,144755,1311,3398,3398,3398,71.34,71.34,71.34,4763,4763,4763,826,826,826,17.64,17.64,17.64,4763,4763,4763,436,436,436,76.36,76.36,76.36,571,571,571
385,2020-12-09,NV,32,176674,2395,5985,5985,5985,81.16,81.16,81.16,7374,7374,7374,1818,1818,1818,25.25,25.25,25.25,7374,7374,7374,796,796,796,86.62,86.62,86.62,919,919,919
386,2020-12-09,NH,33,27592,570,2018,2018,2018,72.85,72.85,72.85,2770,2770,2770,247,247,247,8.92,8.92,8.92,2770,2770,2770,180,180,181,64.01,64.01,64.01,282,282,282
387,2020-12-09,NJ,34,383354,17542,15432,15432,15432,78.9,78.9,78.9,19560,19560,19560,3678,3678,3678,18.8,18.8,18.8,19560,19560,19560,1603,1603,1603,68.04,68.04,68.04,2356,2356,2356
388,2020-12-09,NM,35,112950,1823,2736,2736,2736,75.54,75.54,75.54,3622,3622,3622,856,820,892,23.62,23.62,23.62,3622,3622,3622,391,391,391,95.13,95.13,95.13,411,403,419
389,2020-12-09,NY,36,738947,34799,35481,35442,35520,75.76,75.48,76.03,46835,46781,46889,5972,5955,5989,12.75,12.53,12.97,46835,46781,46889,3654,3654,3654,63.87,63.87,63.87,5721,5721,5721
390,2020-12-09,NC,37,412140,5704,16884,16884,16884,78.33,78.33,78.33,21555,21555,21555,2712,2580,2844,13.1,13.1,13.1,21555,21555,21555,2042,2042,2042,83.21,83.21,83.21,2454,2454,2454
391,2020-12-09,ND,38,86149,1081,1551,1551,1551,76.25,76.25,76.25,2034,2034,2034,378,378,378,18.58,18.58,18.58,2034,2034,2034,137,137,137,65.55,65.55,65.55,209,209,209
392,2020-12-09,OH,39,520112,7187,21214,21199,21229,71.67,71.5,71.83,29601,29582,29620,5519,5489,5549,18.68,18.6,18.76,29601,29582,29620,3228,3228,3228,78.67,78.67,78.67,4103,4103,4103
393,2020-12-09,OK,40,222993,1945,6888,6888,6888,72.66,72.66,72.66,9480,9480,9480,1634,1634,1634,17.49,17.49,17.49,9480,9480,9480,988,988,988,90.56,90.56,90.56,1091,1091,1091
394,2020-12-09,OR,41,88308,1112,4879,4879,4879,75.32,75.32,75.32,6478,6478,6478,688,688,689,10.63,10.63,10.63,6478,6478,6478,521,521,521,67.66,67.66,67.66,770,770,770
395,2020-12-09,PA,42,451154,11839,25690,25688,25692,79.48,79.3,79.67,32321,32287,32355,6799,6790,6808,21.26,21.1,21.42,32321,32287,32355,3348,3348,3349,83.05,82.98,83.11,4032,4031,4033
396,2020-12-09,RI,44,68299,1484,1800,1576,2024,84.79,84.79,84.79,2123,1895,2351,529,529,529,24.92,24.92,24.92,2123,1895,2351,140,140,140,85.37,85.37,85.37,164,164,164
397,2020-12-09,SC,45,239444,4612,8194,8194,8194,84.29,84.29,84.29,9721,9721,9721,1191,1191,1191,12.25,12.25,12.25,9721,9721,9721,1040,1040,1040,82.47,82.47,82.47,1261,1261,1261
398,2020-12-09,SD,46,88023,1147,1531,1531,1531,64.98,64.98,64.98,2356,2356,2356,464,463,465,19.69,19.69,19.69,2356,2356,2356,179,178,180,73.06,73.06,73.06,245,245,245
399,2020-12-09,TN,47,413043,5113,12581,12581,12581,76.09,76.09,76.09,16534,16534,16534,2742,2713,2771,17.09,17.09,17.09,16534,16534,16534,1868,1868,1868,85.57,85.57,85.57,2183,2183,2183
400,2020-12-09,TX,48,1390544,23727,49161,48803,49519,76.87,75.31,78.43,64128,63772,64484,9634,9629,9638,15.06,14.62,15.49,64128,63772,64484,6602,6562,6641,90.57,89.24,91.89,7289,7263,7315
401,2020-12-09,UT,49,222545,995,3107,3107,3107,59.59,59.59,59.59,5214,5214,5214,545,545,545,10.45,10.45,10.45,5214,5214,5214,492,492,492,78.1,78.1,78.1,630,630,630
402,2020-12-09,VT,50,5285,86,680,680,680,57.92,57.92,57.92,1174,1174,1174,23,23,23,1.96,1.96,1.96,1174,1174,1174,65,65,65,63.73,63.73,63.73,102,102,102
403,2020-12-09,VA,51,267128,4281,12159,12159,12159,71.11,71.11,71.11,17099,17099,17099,1957,1957,1957,11.45,11.45,11.45,17099,17099,17099,1442,1442,1442,72.57,72.57,72.57,1987,1987,1987
404,2020-12-09,WA,53,197973,3146,8646,8632,8660,68.85,68.85,68.85,12557,12557,12557,1149,1149,1149,9.15,9.15,9.15,12557,12557,12557,916,914,917,70.48,70.48,70.48,1299,1299,1299
405,2020-12-09,WV,54,58462,901,3931,3931,3931,77.75,77.75,77.75,5056,5056,5056,715,714,716,14.14,14.14,14.14,5056,5056,5056,498,497,498,81.56,81.56,81.56,610,610,610
406,2020-12-09,WI,55,452180,4149,8330,8323,8337,67.19,67.19,67.19,12397,12397,12397,1762,1761,1762,14.53,14.53,14.53,12397,12397,12397,1033,1031,1035,64.39,64.39,64.39,1604,1604,1604
407,2020-12-09,WY,56,37885,299,699,699,699,49.26,49.26,49.26,1419,1419,1419,198,198,198,14.06,14.06,14.06,1419,1419,1419,73,73,73,57.94,57.94,57.94,126,126,126
408,2020-12-10,AL,1,284922,4034,11087,11087,11087,78.28,78.28,78.28,14163,14163,14163,2236,2232,2241,15.79,15.79,15.79,14163,14163,14163,1317,1317,1317,91.71,91.71,91.71,1436,1436,1436
409,2020-12-10,AK,2,39146,148,854,853,855,59.6,59.6,59.6,1433,1433,1433,138,138,138,9.63,9.63,9.63,1433,1433,1433,96,96,96,72.18,72.18,72.18,133,133,133
410,2020-12-10,AZ,4,390047,7173,11014,11014,11014,78.77,78.77,78.77,13983,13983,13983,3479,3476,3482,24.92,24.92,24.92,13983,13983,13983,1511,1511,1511,72.02,72.02,72.02,2098,2098,2098
411,2020-12-10,AR,5,178854,2820,5727,5727,5727,74.88,74.88,74.88,7648,7648,7648,1055,1055,1055,13.79,13.79,13.79,7648,7648,7648,825,823,827,82.34,82.34,82.34,1002,1002,1002
412,2020-12-10,CA,6,1491053,20636,49226,49195,49257,77.64,77.46,77.81,63405,63356,63454,12905,12888,12922,20.35,20.22,20.49,63405,63356,63454,6342,6337,6346,84.33,84.08,84.58,7520,7512,7529
413,2020-12-10,CO,8,278916,3795,7018,7016,7019,68.56,68.56,68.56,10235,10235,10235,1683,1682,1684,16.44,16.44,16.44,10235,10235,10235,1021,1021,1021,67.71,67.71,67.71,1508,1508,1508
414,2020-12-10,CT,9,142979,5327,6238,6238,6238,76.59,76.59,76.59,8145,8145,8145,1363,1363,1363,16.73,16.73,16.73,8145,8145,8145,651,651,651,59.07,59.07,59.07,1102,1102,1102
415,2020-12-10,DE,10,43036,806,1871,1871,1871,72.89,72.89,72.89,2567,2567,2567,424,424,424,16.52,16.52,16.52,2567,2567,2567,159,159,159,88.83,88.83,88.83,179,179,179
416,2020-12-10,DC,11,24098,708,2503,2503,2503,84.7,84.7,84.7,2955,2955,2955,269,269,269,9.1,9.1,9.1,2955,2955,2955,281,281,281,83.63,83.63,83.63,336,336,336
417,2020-12-10,FL,12,1094689,19590,41512,41512,41512,80.05,80.05,80.05,51856,51856,51856,5204,5179,5229,10.22,10.22,10.22,51856,51856,51856,5232,5232,5232,83.23,83.23,83.23,6286,6286,6286
418,2020-12-10,GA,13,506802,9683,15859,15854,15864,83.6,83.51,83.69,18970,18963,18977,3119,3119,3119,16.44,16.41,16.47,18970,18963,18977,2310,2310,2310,87.97,87.97,87.97,2626,2626,2626
419,2020-12-10,HI,15,18901,266,1743,1743,1743,69.83,69.83,69.83,2496,2496,2496,69,69,69,2.76,2.76,2.76,2496,2496,2496,157,157,157,67.97,67.97,67.97,231,231,231
420,2020-12-10,ID,16,118352,1145,1839,1839,1839,59.07,59.07,59.07,3113,3113,3113,432,432,432,13.88,13.88,13.88,3113,3113,3113,218,218,218,75.69,75.69,75.69,288,288,288
421,2020-12-10,IL,17,825136,14852,20624,20621,20628,70.49,70.45,70.53,29258,29252,29264,5252,5250,5253,17.95,17.92,17.97,29258,29252,29264,2552,2552,2552,69.1,69.1,69.1,3693,3693,3693
422,2020-12-10,IN,18,407755,6603,11556,11556,11556,70.13,70.13,70.13,16479,16479,16479,3178,3178,3178,19.29,19.29,19.29,16479,16479,16479,1719,1719,1719,79.11,79.11,79.11,2173,2173,2173
423,2020-12-10,IA,19,251027,3116,5057,5057,5057,63.39,63.39,63.39,7978,7973,7983,844,844,844,10.72,10.67,10.77,7978,7973,7983,531,530,532,77.07,77.07,77.07,689,689,689
424,2020-12-10,KS,20,183750,1941,4936,4936,4936,62.84,62.84,62.84,7855,7855,7855,1209,1209,1209,15.39,15.39,15.39,7855,7855,7855,675,675,675,83.23,83.23,83.23,811,811,811
425,2020-12-10,KY,21,217112,2387,8527,8497,8557,71.7,71.7,71.7,11893,11893,11893,1736,1736,1736,14.6,14.6,14.6,11893,11893,11893,1183,1182,1185,74.1,74.1,74.1,1597,1597,1597
426,2020-12-10,LA,22,261329,6724,9203,9203,9203,72.68,72.68,72.68,12663,12663,12663,1387,1386,1388,11.15,11.15,11.15,12663,12663,12663,1412,1412,1412,77.29,77.29,77.29,1827,1827,1827
427,2020-12-10,ME,23,14861,246,2015,2015,2015,70.18,70.18,70.18,2871,2871,2871,218,218,219,7.61,7.61,7.61,2871,2871,2871,234,234,235,72.83,72.83,72.83,322,322,322
428,2020-12-10,MD,24,226173,5012,8233,8112,8354,84.34,80.44,88.23,9762,9613,9911,2084,2052,2116,21.35,19.36,23.34,9762,9613,9911,1032,1021,1043,79.57,76.7,82.44,1297,1281,1313
429,2020-12-10,MA,25,274781,11209,12086,12086,12086,78.49,78.49,78.49,15399,15399,15399,1471,1471,1471,9.55,9.55,9.55,15399,15399,15399,1061,1061,1061,72.28,72.28,72.28,1468,1468,1468
430,2020-12-10,MI,26,454180,10895,16170,16170,16170,77.88,77.88,77.88,20763,20763,20763,3860,3859,3860,18.59,18.59,18.59,20763,20763,20763,2171,2171,2171,84.02,84.02,84.02,2584,2584,2584
431,2020-12-10,MN,27,367277,4257,7579,7571,7587,76.59,76.37,76.82,9895,9887,9903,1707,1707,1707,17.25,17.18,17.32,9895,9887,9903,798,798,799,80.01,79.97,80.05,998,998,998
432,2020-12-10,MS,28,172955,4083,5390,5385,5395,66.82,66.58,67.05,8067,8058,8076,1211,1202,1220,15.01,14.43,15.59,8067,8058,8076,715,715,715,82.75,82.75,82.75,864,864,864
433,2020-12-10,MO,29,353082,4690,11658,11658,11658,78.08,78.08,78.08,14931,14931,14931,2587,2587,2587,17.33,17.33,17.33,14931,14931,14931,1551,1551,1551,85.74,85.74,85.74,1809,1809,1809
434,2020-12-10,MT,30,70954,786,1998,1998,1998,69.52,69.52,69.52,2874,2874,2874,389,389,389,13.54,13.54,13.54,2874,2874,2874,166,166,166,74.77,74.77,74.77,222,222,222
435,2020-12-10,NE,31,146456,1358,3336,3335,3337,69.82,69.82,69.82,4778,4778,4778,807,807,807,17.18,17.18,17.18,4778,4778,4778,422,420,424,73.26,72.48,74.05,576,574,578
436,2020-12-10,NV,32,179409,2448,6028,6028,6028,81.37,81.37,81.37,7408,7408,7408,1878,1878,1878,25.96,25.96,25.96,7408,7408,7408,765,765,765,84.62,84.62,84.62,904,904,904
437,2020-12-10,NH,33,28273,584,2053,2053,2053,74.12,74.12,74.12,2770,2770,2770,254,253,255,9.17,9.17,9.17,2770,2770,2770,186,186,186,65.96,65.96,65.96,282,282,282
438,2020-12-10,NJ,34,388474,17608,15270,15270,15270,77.81,77.81,77.81,19624,19624,19624,3703,3703,3703,18.87,18.87,18.87,19624,19624,19624,1583,1583,1583,66.79,66.79,66.79,2370,2370,2370
439,2020-12-10,NM,35,114731,1846,2895,2880,2910,75.83,75.83,75.83,3818,3818,3818,886,886,886,23.21,23.21,23.21,3818,3818,3818,412,409,415,100.98,100.98,100.98,408,408,408
440,2020-12-10,NY,36,749204,34884,35442,35442,35442,75.44,75.44,75.44,46979,46979,46979,6119,6119,6119,13.02,13.02,13.02,46979,46979,46979,3666,3663,3669,63.82,63.82,63.82,5744,5744,5744
441,2020-12-10,NC,37,417951,5752,16841,16841,16841,78.36,78.36,78.36,21492,21492,21492,2768,2636,2899,13.41,13.41,13.41,21492,21492,21492,2040,2040,2040,83.13,83.13,83.13,2454,2454,2454
442,2020-12-10,ND,38,86713,1109,1562,1562,1562,75.83,75.83,75.83,2060,2060,2060,366,365,366,17.74,17.74,17.74,2060,2060,2060,133,133,133,62.15,62.15,62.15,214,214,214
443,2020-12-10,OH,39,531850,7298,21263,21263,21263,71.7,71.7,71.7,29657,29657,29657,5509,5479,5539,18.61,18.61,18.61,29657,29657,29657,3239,3238,3240,79.52,79.52,79.52,4073,4073,4073
444,2020-12-10,OK,40,225453,1980,7030,7030,7030,73.82,73.82,73.82,9523,9523,9523,1620,1619,1622,17.27,17.27,17.27,9523,9523,9523,977,977,977,88.34,88.34,88.34,1106,1106,1106
445,2020-12-10,OR,41,89838,1124,4899,4899,4899,75.01,75.01,75.01,6531,6531,6531,686,686,686,10.5,10.5,10.5,6531,6531,6531,536,536,536,69.34,69.34,69.34,773,773,773
446,2020-12-10,PA,42,463175,12066,25520,25517,25522,79.07,78.84,79.3,32274,32233,32315,6842,6834,6849,21.42,21.27,21.58,32274,32233,32315,3329,3329,3330,81.95,81.88,82.03,4062,4061,4064
447,2020-12-10,RI,44,69247,1498,1744,1528,1960,84.76,84.76,84.76,2058,1831,2284,504,504,504,24.5,24.5,24.5,2058,1831,2284,139,139,139,90.26,90.26,90.26,154,154,154
448,2020-12-10,SC,45,241686,4627,8198,8198,8198,84.08,84.08,84.08,9750,9750,9750,1213,1213,1213,12.44,12.44,12.44,9750,9750,9750,1033,1033,1033,81.47,81.47,81.47,1268,1268,1268
449,2020-12-10,SD,46,88727,1177,1546,1546,1546,65.43,65.43,65.43,2363,2363,2363,440,440,440,18.62,18.62,18.62,2363,2363,2363,172,172,172,69.92,69.92,69.92,246,246,246
450,2020-12-10,TN,47,418902,5183,12798,12798,12798,77.51,77.51,77.51,16512,16512,16512,2778,2723,2833,17.33,17.33,17.33,16512,16512,16512,1890,1890,1890,87.1,87.1,87.1,2170,2170,2170
451,2020-12-10,TX,48,1403687,23967,49348,49181,49516,76.62,76.01,77.24,64564,64420,64709,9724,9702,9746,15.1,14.85,15.34,64564,64420,64709,6619,6600,6639,89.92,89.29,90.54,7362,7350,7373
452,2020-12-10,UT,49,225946,1016,3119,3119,3119,59.83,59.83,59.83,5213,5213,5213,571,570,572,10.95,10.95,10.95,5213,5213,5213,514,514,514,82.24,82.24,82.24,625,625,625
453,2020-12-10,VT,50,5413,89,700,700,700,59.68,59.68,59.68,1173,1173,1173,22,21,23,1.88,1.88,1.88,1173,1173,1173,67,67,67,65.69,65.69,65.69,102,102,102
454,2020-12-10,VA,51,271043,4335,12231,12231,12231,71.43,71.43,71.43,17124,17124,17124,2002,2002,2002,11.69,11.69,11.69,17124,17124,17124,1481,1481,1481,74.38,74.38,74.38,1991,1991,1991
455,2020-12-10,WA,53,201179,3075,8621,8621,8621,68.52,68.52,68.52,12581,12581,12581,1099,1099,1099,8.74,8.74,8.74,12581,12581,12581,925,925,925,70.94,70.94,70.94,1304,1304,1304
456,2020-12-10,WV,54,59695,921,3877,3877,3877,77.57,77.57,77.57,4998,4998,4998,725,725,725,14.51,14.51,14.51,4998,4998,4998,499,499,499,81.8,81.8,81.8,610,610,610
457,2020-12-10,WI,55,456889,4216,8249,8243,8255,66.64,66.64,66.64,12378,12378,12378,1684,1684,1684,13.91,13.91,13.91,12378,12378,12378,1069,1068,1070,66.65,66.65,66.65,1604,1604,1604
458,2020-12-10,WY,56,38223,299,684,679,689,48.2,46.17,50.23,1419,1401,1437,204,202,207,14.52,13.17,15.88,1419,1401,1437,66,65,67,51.97,47.72,56.21,127,124,130
459,2020-12-11,AL,1,288775,4086,10996,10948,11044,78.01,76.83,79.18,14096,14025,14167,2244,2218,2271,15.92,14.89,16.96,14096,14025,14167,1308,1303,1313,91.73,90.65,92.8,1426,1421,1431
460,2020-12-11,AK,2,39773,151,855,855,855,59.58,59.58,59.58,1435,1435,1435,133,133,133,9.27,9.27,9.27,1435,1435,1435,104,104,104,76.47,76.47,76.47,136,136,136
461,2020-12-11,AZ,4,398150,7250,10995,10995,10995,78.3,78.3,78.3,14043,14043,14043,3521,3520,3522,25.11,25.11,25.11,14043,14043,14043,1479,1479,1479,70.43,70.43,70.43,2100,2100,2100
462,2020-12-11,AR,5,181624,2875,5735,5735,5735,75.13,75.13,75.13,7633,7633,7633,1108,1108,1108,14.52,14.52,14.52,7633,7633,7633,811,811,811,80.54,80.54,80.54,1007,1007,1007
463,2020-12-11,CA,6,1528177,20854,48816,48793,48840,77.36,77.21,77.51,63104,63060,63148,13334,13323,13346,21.13,21.03,21.23,63104,63060,63148,6290,6287,6293,84.87,84.65,85.08,7412,7404,7419
464,2020-12-11,CO,8,283571,3858,6996,6996,6996,68.61,68.61,68.61,10197,10197,10197,1690,1689,1690,16.57,16.57,16.57,10197,10197,10197,1012,1012,1012,68.1,68.1,68.1,1486,1486,1486
465,2020-12-11,CT,9,146761,5363,6261,6261,6261,76.92,76.92,76.92,8140,8140,8140,1380,1380,1380,16.95,16.95,16.95,8140,8140,8140,649,649,649,58.63,58.63,58.63,1107,1107,1107
466,2020-12-11,DE,10,43818,807,1874,1874,1874,73.2,73.2,73.2,2560,2560,2560,405,405,405,15.82,15.82,15.82,2560,2560,2560,154,154,154,85.56,85.56,85.56,180,180,180
467,2020-12-11,DC,11,24357,709,2480,2480,2480,84.99,84.99,84.99,2918,2918,2918,282,282,282,9.66,9.66,9.66,2918,2918,2918,285,285,285,85.07,85.07,85.07,335,335,335
468,2020-12-11,FL,12,1106388,19713,41339,41339,41339,79.73,79.73,79.73,51851,51851,51851,5172,5171,5172,10.16,10.16,10.16,51851,51851,51851,5151,5151,5151,82.14,82.14,82.14,6271,6271,6271
469,2020-12-11,GA,13,512715,9738,15695,15674,15716,82.63,82.23,83.02,18995,18962,19028,3168,3163,3172,16.68,16.49,16.86,18995,18962,19028,2311,2308,2314,88.04,87.63,88.45,2625,2620,2630
470,2020-12-11,HI,15,19029,267,1747,1747,1747,70.42,70.42,70.42,2481,2481,2481,77,77,77,3.1,3.1,3.1,2481,2481,2481,152,151,152,66.16,66.16,66.16,229,229,229
471,2020-12-11,ID,16,119934,1169,1864,1864,1864,60.03,60.03,60.03,3105,3105,3105,434,434,434,13.98,13.98,13.98,3105,3105,3105,222,222,222,76.82,76.82,76.82,289,289,289
472,2020-12-11,IL,17,834668,15076,20422,20422,20422,69.72,69.72,69.72,29291,29291,29291,5167,5166,5168,17.64,17.64,17.64,29291,29291,29291,2541,2541,2541,68.69,68.69,68.69,3699,3699,3699
473,2020-12-11,IN,18,414961,6673,11360,11360,11360,69.3,69.3,69.3,16393,16393,16393,3123,3120,3126,19.05,19.05,19.05,16393,16393,16393,1684,1683,1685,77.82,77.82,77.82,2164,2164,2164
474,2020-12-11,IA,19,253612,3193,5015,5015,5015,62.93,62.93,62.93,7969,7962,7976,829,828,830,10.54,10.46,10.62,7969,7962,7976,499,498,500,72.32,72.32,72.32,690,690,690
475,2020-12-11,KS,20,188610,2072,4866,4866,4866,61.88,61.88,61.88,7864,7864,7864,1160,1160,1160,14.75,14.75,14.75,7864,7864,7864,691,691,691,84.89,84.89,84.89,814,814,814
476,2020-12-11,KY,21,220898,2416,7370,7345,7396,61.81,61.81,61.81,11925,11925,11925,1734,1734,1734,14.54,14.54,14.54,11925,11925,11925,1204,1202,1205,73.8,73.8,73.8,1631,1631,1631
477,2020-12-11,LA,22,264191,6767,9108,9104,9111,72.11,72.11,72.11,12630,12630,12630,1377,1377,1377,11.1,11.1,11.1,12630,12630,12630,1422,1422,1422,78.0,78.0,78.0,1823,1823,1823
478,2020-12-11,ME,23,15206,250,1976,1976,1976,68.87,68.87,68.87,2869,2869,2869,217,217,217,7.56,7.56,7.56,2869,2869,2869,241,240,242,75.43,74.64,76.22,320,319,320
479,2020-12-11,MD,24,228792,5064,8151,8025,8277,83.84,79.77,87.92,9722,9567,9877,2042,2009,2075,21.0,18.92,23.09,9722,9567,9877,1058,1046,1070,81.76,78.76,84.77,1294,1278,1310
480,2020-12-11,MA,25,280436,11257,11994,11952,12037,79.43,78.57,80.3,15100,15049,15151,1541,1532,1550,10.21,9.78,10.63,15100,15049,15151,1076,1071,1082,73.99,72.77,75.2,1455,1448,1462
481,2020-12-11,MI,26,459811,10961,16058,16056,16060,77.84,77.72,77.96,20630,20616,20644,3873,3872,3874,18.77,18.72,18.83,20630,20616,20644,2147,2147,2147,83.35,83.35,83.35,2576,2576,2576
